iter	RMSE
0	9.143737379
1	8.954228735
2	8.783798297
3	8.623614787
4	8.477216134
5	8.318302114
6	8.162984168
7	7.957398576
8	7.778909676
9	7.611906637
10	7.432943298
11	7.273741889
12	7.133472778
13	6.98994764
14	6.850878363
15	6.741800346
16	6.599647659
17	6.47191142
18	6.323155196
19	6.18577833
20	6.059814406
21	5.946434102
22	5.835372948
23	5.7118047
24	5.573314488
25	5.476341218
26	5.384797042
27	5.28539848
28	5.191634997
29	5.079773178
30	4.997461485
31	4.887260968
32	4.786900251
33	4.711969401
34	4.607607269
35	4.521090993
36	4.430256713
37	4.326479322
38	4.230882403
39	4.151253202
40	4.062866273
41	3.980402677
42	3.902135875
43	3.83579615
44	3.783447382
45	3.71897429
46	3.655133471
47	3.590610296
48	3.503518635
49	3.44146926
50	3.387335355
51	3.315581694
52	3.243923548
53	3.163814072
54	3.104846036
55	3.047032392
56	2.996355169
57	2.933835035
58	2.883281087
59	2.833450437
60	2.781939059
61	2.731637813
62	2.672278194
63	2.616565312
64	2.55718624
65	2.520894628
66	2.479953453
67	2.432270811
68	2.383844627
69	2.341726098
70	2.297757591
71	2.243305045
72	2.215208154
73	2.178041399
74	2.143820343
75	2.112060904
76	2.076093414
77	2.05170536
78	2.018189347
79	1.97400808
80	1.940433058
81	1.914040693
82	1.888182523
83	1.855494561
84	1.821654434
85	1.792657414
86	1.769537506
87	1.734704489
88	1.700906599
89	1.671739296
90	1.646353156
91	1.624098174
92	1.597178128
93	1.570887038
94	1.536844124
95	1.505869658
96	1.483137538
97	1.460051606
98	1.43970705
99	1.416786063
100	1.402169281
101	1.37775991
102	1.361002153
103	1.34114032
104	1.31546811
105	1.296761186
106	1.278892115
107	1.259201508
108	1.243592429
109	1.226291486
110	1.210689833
111	1.192076361
112	1.173191244
113	1.159896036
114	1.142180285
115	1.127435948
116	1.114043575
117	1.096295721
118	1.084822047
119	1.069359483
120	1.055681665
121	1.039213451
122	1.024021326
123	1.012109009
124	1.00013358
125	0.9882016961
126	0.9761812336
127	0.9648098817
128	0.9515035854
129	0.9427777542
130	0.9291581368
131	0.9195071681
132	0.907039144
133	0.8990623416
134	0.8895409549
135	0.8796940987
136	0.8684153587
137	0.8597690228
138	0.8507968302
139	0.8410849167
140	0.8326770582
141	0.823160679
142	0.8141505222
143	0.8059168957
144	0.7975660846
145	0.7888052768
146	0.7827035244
147	0.7744899778
148	0.7676382014
149	0.7598766129
150	0.7514942159
151	0.7441552079
152	0.7370396021
153	0.7297034087
154	0.7229484224
155	0.7167782861
156	0.7101424348
157	0.7035428517
158	0.6971941402
159	0.6913938614
160	0.6858910719
161	0.6798915611
162	0.6749600713
163	0.6682909593
164	0.661846982
165	0.6567035301
166	0.6516098361
167	0.6459691894
168	0.640259258
169	0.6339700955
170	0.6280800572
171	0.6227844414
172	0.6176190361
173	0.6128357856
174	0.6068301195
175	0.6020874665
176	0.5971034944
177	0.5929851413
178	0.5884071447
179	0.5848657298
180	0.5802828492
181	0.5757999297
182	0.5720173241
183	0.5673411075
184	0.5628363046
185	0.5580730968
186	0.554541207
187	0.5500186982
188	0.5460481354
189	0.5419981348
190	0.537730979
191	0.5341884851
